date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:24:36, success, 104857600, 6.755742, 14.802222, 942, iperf3 -b 1000M -R
2025-03-02, 23:24:43, success, 104857600, 6.723157, 14.873964, 942, iperf3 -b 1000M -R
2025-03-02, 23:24:50, success, 104857600, 7.228383, 13.834352, 942, iperf3 -b 1000M -R
2025-03-02, 23:24:57, success, 104857600, 7.119432, 14.046064, 942, iperf3 -b 1000M -R
2025-03-02, 23:25:04, success, 104857600, 6.998032, 14.289732, 942, iperf3 -b 1000M -R
2025-03-02, 23:25:11, success, 104857600, 6.334409, 15.786791, 942, iperf3 -b 1000M -R
2025-03-02, 23:25:17, success, 104857600, 6.876080, 14.543171, 942, iperf3 -b 1000M -R
2025-03-02, 23:25:24, success, 104857600, 7.082336, 14.119635, 942, iperf3 -b 1000M -R
2025-03-02, 23:25:32, success, 104857600, 7.056413, 14.171505, 942, iperf3 -b 1000M -R
2025-03-02, 23:25:39, success, 104857600, 7.048961, 14.186487, 942, iperf3 -b 1000M -R
